section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,1,1734335852506036649,1734335852599185664,93,432.525,250.157,-6.2684547764570695,21.098057164073275
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,2,1734335852642112649,1734335852875265536,233,365.709,293.942,-11.391791824281635,17.721433718702585
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,3,1734335852922286649,1734335853087223552,165,510.201,327.23,-0.1171885938267144,15.310401872414404
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,4,1734335853174324649,1734335853287058688,113,170.203,338.215,-26.395510866328,14.031260634389646
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,5,1734335853326100649,1734335853571134464,245,254.257,296.585,-20.089546373398885,17.307940283477613
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,6,1734335853670246649,1734335853915568640,245,-33.978,497.262,-41.64598516454076,2.312010413160025
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,7,1734335853938188649,1734335854251019520,313,-42.761,483.434,-42.37088345242293,3.2676125146935138
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,8,1734335854306028649,1734335854543180544,237,-91.21,585.369,-46.25723927989407,-3.753586176871055
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,9,1734335854734217649,1734335854927124480,193,657.02,310.758,11.264500581289324,16.44556714481442
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,10,1734335854954150649,1734335855127148544,173,681.787,348.426,13.065513184608218,13.590618798904888
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,11,1734335855162153649,1734335855347123712,185,635.469,341.407,9.524004060200443,14.172503654855799
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,12,1734335855374145649,1734335855567142656,193,596.503,316.177,6.565520197130989,16.10665169659322
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,13,1734335855614324649,1734335855743124480,129,475.794,276.169,-2.8189891357627017,19.16014307104407
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,14,1734335855794121649,1734335856155138560,361,306.076,296.284,-16.039231678430603,17.444451430421857
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,15,1734335856274463649,1734335856339147520,65,-80.698,531.146,-45.33653241485535,-0.04349416664169856
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,16,1734335856358243649,1734335856447189504,89,-47.303,501.42,-42.69626774357932,2.015676131251851
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,17,1734335856482160649,1734335857167127552,685,-89.364,509.274,-46.04492011155409,1.4557752030244329
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,18,1734335857206007649,1734335857563335680,357,-6.463,450.193,-39.60245902184235,5.631042692629613
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,19,1734335857718183649,1734335858143250688,425,669.169,245.278,12.454054121969056,21.33646228342563
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,20,1734335858194132649,1734335858351093504,157,710.892,335.481,15.343699700842471,14.512863753551414
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,21,1734335858554117649,1734335860171173632,1617,20.076,436.062,-37.571334426540126,6.667171164248884
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,22,1734335860506124649,1734335860879082496,373,499.639,211.984,-0.9773983118098323,24.020886916485786
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,23,1734335860926123649,1734335861087147520,161,419.484,267.061,-7.256976038589615,19.810115199662626
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,24,1734335861126144649,1734335861327151616,201,357.113,321.286,-11.971756804399304,15.657981055847003
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,25,1734335861370251649,1734335861583505664,213,508.283,322.631,-0.2659682171918168,15.65749624678008
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,26,1734335861631126649,1734335861795100672,164,429.547,155.782,-6.784426075030296,28.242098046695197
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,27,1734335861841991649,1734335862191134464,349,334.767,107.647,-15.010866483274174,31.694606739505154
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,28,1734335862382093649,1734335862583151616,201,425.902,209.655,-6.903237566893674,24.152427255953704
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,29,1734335862742170649,1734335862863150592,121,411.851,908.737,-8.252380468100608,-28.486287381288097
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,30,1734335862902067649,1734335863095502592,193,337.689,907.909,-14.370121666490657,-28.26168407167327
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,31,1734335863130158649,1734335863363174656,233,262.097,907.181,-20.61299635027723,-27.953010097082778
