recording id,timestamp [ns],name,type
831783b3-db8c-4694-ab40-000b7073cdd4,1734597168290000000,recording.begin,recording
831783b3-db8c-4694-ab40-000b7073cdd4,1734597217738616000,start-1-dist,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597309849681000,end-1,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597362313927000,start-2,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597457290811000,end-2,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597488253753000,start-3-dist,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597586907650000,end-3,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597622142219000,start-4-dist,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597713014066000,end-4,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597740940020000,start-5,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597832382723000,end-5,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597864240516000,start-6,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597958354621000,end-6,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734597985880947000,start-7-dist,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598087579193000,end-7,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598128413471000,start-8,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598224735652000,end-8,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598250298964000,start-9-dist,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598353389888000,end-9,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598382024493000,start-10,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598481774095000,end-10,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598510508771000,start-11-dist,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598606092055000,end-11,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598626879006000,start-12,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598781037918000,end-12,cloud
831783b3-db8c-4694-ab40-000b7073cdd4,1734598793938000000,recording.end,recording
