section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,1,1732933936749881966,1732933937334923008,585,622.2,334.618,8.516445389755978,14.695970820121236
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,2,1732933937449966966,1732933937691014912,241,465.277,239.073,-3.69310249726068,21.95921400132061
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,3,1732933937749857966,1732933937866894848,117,653.766,249.477,11.2195059688822,21.050206156934767
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,4,1732933938049852966,1732933938230963968,181,369.738,884.665,-11.58698274056121,-26.588300239906374
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,5,1732933938249906966,1732933939054934784,805,381.653,858.417,-10.487078533318444,-24.63350472321107
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,6,1732933939177916966,1732933939466913792,289,724.621,203.654,17.112578051502794,24.316377516178733
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,7,1732933939485895966,1732933939806821888,321,685.15,223.339,13.829981637872384,22.94797317426311
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,8,1732933939825930966,1732933940006918912,181,677.276,272.928,12.974489514805875,19.247486332418376
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,9,1732933940069887966,1732933940174955008,105,661.266,303.487,11.615921752461357,16.984484365715605
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,10,1732933940217898966,1732933940382910976,165,544.88,268.157,2.601812933823226,19.76224875667518
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,11,1732933940413908966,1732933940578934784,165,601.296,261.806,7.046270336168234,20.19790111339092
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,12,1732933940617915966,1732933940695407872,77,508.409,254.318,-0.26581165982105237,20.816840386313125
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,13,1732933940833869966,1732933940898797824,65,578.082,282.234,5.187070920112294,18.679383031826436
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,14,1732933940949911966,1732933941170887936,221,772.078,259.076,20.493319490025495,20.04918225083481
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,15,1732933941325937966,1732933942171059968,845,428.597,839.077,-6.648576432700507,-23.24198007110879
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,16,1732933942345882966,1732933942510889984,165,673.707,235.06,12.860463236702401,22.094057396794092
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,17,1732933942549874966,1732933942790904832,241,557.161,242.94,3.595802498141943,21.661125246756512
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,18,1732933942817878966,1732933943046913024,229,581.803,268.004,5.501783520601475,19.749712217334476
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,19,1732933943133988966,1732933943266899968,133,529.264,323.732,1.3564995386813132,15.57208809768426
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,20,1732933943305877966,1732933943406889984,101,589.948,328.567,6.039894716797048,15.178894989693049
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,21,1732933943445871966,1732933943666937856,221,492.483,390.214,-1.4646911203988517,10.5590736095786
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,22,1732933943713904966,1732933943958914816,245,653.103,336.591,10.891867537276205,14.513813836154545
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,23,1732933944089844966,1732933944362817024,273,479.187,870.278,-2.6433762220553527,-25.638441790483064
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,24,1732933944481917966,1732933944690856960,209,550.931,159.636,3.207787848546233,27.9803813658333
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,25,1732933944713853966,1732933945110878976,397,547.406,164.329,2.9119999067371722,27.625843108291434
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,26,1732933945145913966,1732933945395028992,249,600.409,208.166,7.114726700745075,24.24798384032109
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,27,1732933945429951966,1732933945590829824,161,541.84,261.245,2.3679391561621546,20.28576567413329
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,28,1732933945613772966,1732933946474902784,861,518.988,287.123,0.5656067737651467,18.33714165185333
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,29,1732933946637784966,1732933946938949888,301,456.854,388.419,-4.184417048636869,10.687307116016099
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,30,1732933946965907966,1732933947102800896,137,499.296,370.66,-0.9489637342392548,12.034108194625736
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,31,1732933947253847966,1732933947470902784,217,642.05,371.37,9.969255376810754,11.917424058199877
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,32,1732933947497912966,1732933948026895872,529,592.956,368.992,6.219007835554894,12.133868478736643
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,33,1732933948069872966,1732933948222910976,153,527.257,289.937,1.2105726724123098,18.123161602070805
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,34,1732933948397882966,1732933948930909952,533,117.409,274.759,-31.069044580577216,18.47986869490374
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,35,1732933949410049966,1732933949590904832,181,498.212,366.59,-1.0328646749979764,12.341010981456296
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,36,1732933949641941966,1732933949846902016,205,553.018,306.2,3.206590561794865,16.886976924879914
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,37,1732933949873895966,1732933950086793984,213,546.13,362.798,2.6389528420127104,12.621520127675604
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,38,1732933950118057966,1732933950346806016,229,470.073,367.079,-3.1884560170238876,12.299631054540624
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,39,1732933950397880966,1732933950662811904,265,658.634,354.049,11.274752848872103,13.19877679870177
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,40,1732933950693860966,1732933950938913024,245,615.184,370.613,7.916849038328266,11.996858390243586
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,41,1732933950985945966,1732933951150891008,165,441.214,380.182,-5.386241234748985,11.302197223428605
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,42,1732933951501782966,1732933951762934784,261,237.477,482.548,-20.733896856228863,3.5260914480177266
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,43,1732933952021902966,1732933952182861824,161,685.213,257.919,13.662802092069489,20.355957230160776
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,44,1732933952317937966,1732933952518885888,201,469.0,898.632,-3.518026278444602,-27.78240362318912
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,45,1732933952625801966,1732933952986952960,361,596.677,205.972,6.821234789865453,24.41876441309788
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,46,1732933953101932966,1732933953314916864,213,558.535,221.174,3.7337153360270445,23.30642174433709
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,47,1732933953442432966,1732933953626865920,184,658.242,231.233,11.64959908339663,22.413045491122435
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,48,1732933953669922966,1732933954010904832,341,825.811,218.809,25.09482923190721,22.832372665578657
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,49,1732933954117893966,1732933954386800896,269,461.083,239.616,-4.025313694931995,21.915821055017197
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,50,1732933954429915966,1732933954570802944,141,302.151,237.592,-16.6715394143715,21.819796280338718
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,51,1732933954725982966,1732933954946998016,221,511.502,323.587,-0.016907892675730802,15.585228903020626
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,52,1732933954993813966,1732933955738934784,745,718.055,273.428,16.165976181207856,19.124870615718137
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,53,1732933955918154966,1732933957059009024,1141,712.778,298.149,15.637290333176415,17.292662149120048
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,54,1732933957205901966,1732933958010961920,805,709.305,297.135,15.37167789825644,17.37529539526049
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,55,1732933958129913966,1732933958538920960,409,696.718,315.438,14.322301547785166,16.03254323511683
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,56,1732933958705957966,1732933958830886912,125,666.516,327.333,11.950233484493449,15.190047130669505
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,57,1732933958878082966,1732933959070914816,193,536.183,341.216,1.8844151052785223,14.251644573727896
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,58,1732933959114050966,1732933959474889984,361,459.609,356.54,-3.999079510745394,13.090929132904524
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,59,1732933959521824966,1732933959682859776,161,578.766,333.065,5.17152930440805,14.847672961900061
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,60,1732933959733897966,1732933960518892800,785,712.95,311.801,15.592870290440146,16.27437434279858
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,61,1732933960565977966,1732933961170920960,605,566.409,341.331,4.211010992435199,14.231796811923317
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,62,1732933961329985966,1732933961510967808,181,527.561,354.172,1.2177140559199342,13.276221849655395
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,63,1732933961529889966,1732933962310913792,781,564.947,342.389,4.097565428358315,14.152735057900914
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,64,1732933962353919966,1732933962786903808,433,457.92,361.334,-4.124556782374123,12.728942015608622
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,65,1732933962845952966,1732933963314894848,469,728.064,293.272,16.8488415504253,17.623686772970096
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,66,1732933963337997966,1732933963634788864,297,737.386,309.6,17.49545108262834,16.38888511972476
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,67,1732933963786153966,1732933964498902784,713,738.182,328.182,17.474786224536437,15.006440490295242
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,68,1732933964753932966,1732933965070927872,317,475.092,358.663,-2.8089250473034633,12.93547106832193
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,69,1732933965109892966,1732933965198833920,89,552.808,329.478,3.1723853228433447,15.131468150999979
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,70,1732933965385919966,1732933965694878976,309,522.936,332.921,0.8657463876510633,14.879891345662179
82104736-b7a3-49b8-bdca-dbc21e8a4f60,ae30e625-5b46-400f-a958-2a3bd3e0dc91,71,1732933965746073966,1732933967102934784,1357,685.21,299.476,13.489390064915737,17.245726520085732
