recording id,timestamp [ns],name,type
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859096156000000,recording.begin,recording
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859199433849000,start-1-dist,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859292545409000,end-1,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859324491700000,start-2,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859418941729000,end-2,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859438125950000,start-3-dist,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859536956137000,end-3,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859563325311000,start-4-dist,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859652150410000,end-4,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859685278379000,start-5,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859776049593000,end-5,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859797739138000,start-6,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859891528768000,end-6,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734859915518055000,start-7-dist,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860015064426000,end-7,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860052171675000,start-8,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860147759362000,end-8,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860168686105000,start-9-dist,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860269218898000,end-9,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860297557087000,start-10,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860398114899000,end-10,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860422632148000,start-11-dist,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860516847619000,end-11,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860559582111000,start-12,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860712794552000,end-12,cloud
71a2ba67-1c9e-4a87-906a-6992b40e04c7,1734860740535000000,recording.end,recording
