blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,1734346735193145455,1734346735509164455,316
2,1734346735513324455,1734346735933113455,420
3,1734346737941493455,1734346738261256455,320
4,1734346738269128455,1734346738633152455,364
5,1734346738857333455,1734346739185153455,328
6,1734346739509125455,1734346739861157455,352
7,1734346740685424455,1734346741057087455,372
8,1734346741585104455,1734346741957083455,372
9,1734346742297047455,1734346742697137455,400
10,1734346743013117455,1734346743425199455,412
11,1734346744705079455,1734346745081160455,376
12,1734346746477137455,1734346746897070455,420
13,1734346749185230455,1734346749477072455,292
14,1734346749933134455,1734346750337120455,404
15,1734346753065097455,1734346753409143455,344
16,1734346753793129455,1734346754169130455,376
17,1734346756253110455,1734346756625078455,372
18,1734346757121149455,1734346757529197455,408
19,1734346758681388455,1734346759049122455,368
20,1734346759537108455,1734346759889140455,352
21,1734346763361110455,1734346763701186455,340
22,1734346764041183455,1734346764405107455,364
23,1734346765593252455,1734346766025140455,432
24,1734346770109157455,1734346770469158455,360
25,1734346770649097455,1734346770957149455,308
26,1734346771857101455,1734346772185093455,328
27,1734346773585139455,1734346773869095455,284
28,1734346774573307455,1734346775037125455,464
29,1734346775793121455,1734346775961106455,168
30,1734346775965128455,1734346776329077455,364
31,1734346776749294455,1734346777109117455,360
32,1734346777257129455,1734346777661235455,404
33,1734346777789166455,1734346778145065455,356
34,1734346779213171455,1734346779521126455,308
35,1734346780769099455,1734346781145017455,376
36,1734346781193511455,1734346781593210455,400
37,1734346781973269455,1734346782305233455,332
38,1734346782521147455,1734346782925066455,404
39,1734346788565101455,1734346788929308455,364
40,1734346793865332455,1734346794221267455,356
41,1734346795941216455,1734346796129156455,188
42,1734346796133098455,1734346796553099455,420
43,1734346797369450455,1734346797737121455,368
44,1734346803049071455,1734346803377117455,328
45,1734346805745118455,1734346806041100455,296
46,1734346806045087455,1734346806453178455,408
47,1734346811477137455,1734346811825102455,348
48,1734346819921190455,1734346820181084455,260
49,1734346820185176455,1734346820565089455,380
50,1734346838217153455,1734346838549105455,332
51,1734346838713062455,1734346839145182455,432
52,1734346842553076455,1734346842909097455,356
53,1734346843169091455,1734346843577106455,408
54,1734346845073171455,1734346845461110455,388
55,1734346849013184455,1734346849393128455,380
56,1734346853193031455,1734346853557274455,364
57,1734346855509588455,1734346855913049455,403
58,1734346859757041455,1734346860077055455,320
59,1734346864817085455,1734346865017050455,200
60,1734346865025070455,1734346865373105455,348
61,1734346866045114455,1734346866409384455,364
62,1734346869113060455,1734346869473054455,360
63,1734346871017040455,1734346871405274455,388
64,1734346873489121455,1734346873809093455,320
65,1734346874341040455,1734346874669070455,328
66,1734346875273164455,1734346875673049455,400
67,1734346875753150455,1734346876225058455,472
68,1734346879105362455,1734346879273087455,168
69,1734346879277054455,1734346879593110455,316
70,1734346881261153455,1734346881545054455,284
71,1734346881869096455,1734346882237077455,368
72,1734346883013078455,1734346883393069455,380
73,1734346883417088455,1734346883733024455,316
74,1734346883869050455,1734346884257105455,388
75,1734346885013098455,1734346885225035455,212
76,1734346885229089455,1734346885605076455,376
77,1734346885929032455,1734346886345050455,416
78,1734346886821123455,1734346887169088455,348
79,1734346889605062455,1734346889801150455,196
80,1734346889805045455,1734346890033088455,228
81,1734346891377043455,1734346891573166455,196
82,1734346892681135455,1734346893025133455,344
83,1734346896533062455,1734346896981208455,448
84,1734346897261154455,1734346897581166455,320
85,1734346897693091455,1734346897917092455,224
86,1734346897921171455,1734346898077169455,156
87,1734346898293077455,1734346898657050455,364
88,1734346898693096455,1734346899029057455,336
89,1734346899197070455,1734346899585392455,388
90,1734346900301071455,1734346900665072455,364
91,1734346900669072455,1734346901005080455,336
92,1734346901009109455,1734346901369075455,360
93,1734346901377259455,1734346901821055455,444
94,1734346902021325455,1734346902409163455,388
95,1734346903585100455,1734346903929176455,344
96,1734346904685318455,1734346905009062455,324
97,1734346905641216455,1734346906037059455,396
98,1734346906189126455,1734346906573172455,384
99,1734346907693079455,1734346908081114455,388
100,1734346910537040455,1734346910925177455,388
101,1734346915273080455,1734346915653054455,380
102,1734346915701188455,1734346916081172455,380
103,1734346918277060455,1734346918637145455,360
104,1734346919313177455,1734346919749055455,436
105,1734346920521182455,1734346920881114455,360
106,1734346923369135455,1734346923709122455,340
107,1734346924777067455,1734346925277055455,500
108,1734346928341063455,1734346928701270455,360
109,1734346930425072455,1734346930773157455,348
110,1734346935961353455,1734346936177103455,216
111,1734346937697088455,1734346938065364455,368
112,1734346940673056455,1734346941033041455,360
113,1734346947317158455,1734346947473170455,156
114,1734346947477099455,1734346947861457455,384
115,1734346960545031455,1734346960805068455,260
116,1734346960809049455,1734346961169116455,360
117,1734346962261871455,1734346962657280455,395
118,1734346962857058455,1734346963253103455,396
119,1734346963477046455,1734346963849108455,372
120,1734346965029072455,1734346965413044455,384
121,1734346967361069455,1734346967737084455,376
122,1734346969521089455,1734346969861100455,340
123,1734346969885192455,1734346970301111455,416
124,1734346970949073455,1734346971313199455,364
125,1734346971705081455,1734346972145209455,440
126,1734346972249080455,1734346972685164455,436
127,1734346974225092455,1734346974617058455,392
128,1734346975409127455,1734346975757142455,348
129,1734346976809050455,1734346977205074455,396
